Age,Overall,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,DefensiveAwareness
26,88,89,107.5,250.0,3.0,3.0,4.0,179.0,69.0,87.0,83.0,64.0,91.0,87.0,83.0,87.0,87.0,88.0,87.0,77.0,73.0,80.0,91.0,79.0,89.0,73.0,91.0,70.0,89.0,78.0,66.0,87.0,90.0,91.0,87.0,34.0,73.0,65.0,12.0,14.0,15.0,8.0,14.0,206.9,72.0
23,81,85,37.0,65.0,2.0,3.0,4.0,180.0,72.0,74.0,78.0,60.0,82.0,71.0,86.0,80.0,73.0,79.0,84.0,73.0,76.0,77.0,83.0,79.0,77.0,79.0,84.0,75.0,74.0,78.0,73.0,81.0,83.0,75.0,86.0,34.0,73.0,63.0,14.0,9.0,12.0,11.0,11.0,73.1,69.0
25,81,86,38.0,61.0,2.0,3.0,3.0,186.0,77.0,74.0,72.0,71.0,86.0,69.0,78.0,70.0,70.0,82.0,83.0,77.0,79.0,79.0,79.0,86.0,76.0,70.0,88.0,74.0,74.0,72.0,70.0,78.0,84.0,80.0,82.0,34.0,74.0,72.0,12.0,7.0,10.0,13.0,11.0,67.5,70.0
24,78,84,22.0,17.0,1.0,4.0,4.0,167.0,65.0,72.0,73.0,69.0,79.0,72.0,81.0,83.0,76.0,72.0,78.0,86.0,83.0,92.0,77.0,86.0,80.0,83.0,93.0,44.0,75.0,87.0,71.0,79.0,80.0,69.0,82.0,34.0,74.0,64.0,9.0,6.0,9.0,7.0,9.0,35.2,64.0
27,82,83,35.5,61.0,2.0,4.0,4.0,190.0,80.0,75.0,81.0,77.0,84.0,76.0,83.0,86.0,87.0,82.0,84.0,84.0,76.0,87.0,78.0,75.0,84.0,65.0,82.0,75.0,87.0,67.0,52.0,86.0,79.0,75.0,77.0,34.0,55.0,42.0,13.0,11.0,13.0,12.0,10.0,63.0,45.0
33,82,82,15.0,46.0,3.0,4.0,4.0,174.0,75.0,80.0,71.0,55.0,84.0,65.0,83.0,83.0,81.0,87.0,84.0,63.0,61.0,76.0,82.0,80.0,77.0,49.0,74.0,67.0,81.0,83.0,79.0,75.0,85.0,79.0,80.0,34.0,77.0,74.0,13.0,8.0,7.0,7.0,10.0,25.5,79.0
29,82,82,30.0,38.0,3.0,3.0,4.0,179.0,70.0,81.0,78.0,59.0,85.0,72.0,81.0,77.0,78.0,84.0,83.0,82.0,74.0,87.0,78.0,86.0,80.0,76.0,84.0,60.0,82.0,60.0,52.0,81.0,78.0,70.0,79.0,34.0,59.0,55.0,12.0,10.0,15.0,12.0,12.0,46.5,66.0
32,82,82,24.0,41.0,3.0,4.0,4.0,181.0,80.0,74.0,84.0,65.0,85.0,85.0,82.0,77.0,75.0,79.0,84.0,63.0,59.0,70.0,84.0,79.0,85.0,72.0,75.0,72.0,83.0,74.0,60.0,85.0,84.0,83.0,83.0,34.0,62.0,55.0,7.0,10.0,13.0,11.0,12.0,40.8,59.0
31,87,87,66.0,140.0,4.0,4.0,3.0,185.0,76.0,85.0,88.0,81.0,85.0,84.0,77.0,81.0,59.0,79.0,84.0,66.0,67.0,73.0,94.0,71.0,78.0,77.0,86.0,66.0,82.0,62.0,58.0,96.0,85.0,70.0,84.0,34.0,57.0,46.0,6.0,7.0,11.0,14.0,14.0,108.9,47.0
27,87,88,93.0,160.0,3.0,3.0,4.0,177.0,75.0,82.0,85.0,59.0,87.0,88.0,90.0,90.0,88.0,79.0,93.0,88.0,80.0,92.0,80.0,94.0,84.0,75.0,70.0,61.0,89.0,43.0,42.0,82.0,91.0,84.0,79.0,34.0,41.0,39.0,5.0,4.0,4.0,5.0,8.0,160.4,32.0
29,80,80,20.5,35.0,2.0,4.0,4.0,172.0,69.0,83.0,71.0,47.0,83.0,62.0,81.0,81.0,81.0,82.0,82.0,70.0,65.0,86.0,77.0,90.0,77.0,36.0,78.0,63.0,80.0,83.0,78.0,74.0,84.0,75.0,83.0,34.0,71.0,69.0,12.0,11.0,15.0,10.0,10.0,41.0,67.0
31,81,81,21.5,15.0,2.0,4.0,4.0,171.0,67.0,73.0,76.0,65.0,81.0,65.0,85.0,77.0,79.0,80.0,78.0,85.0,79.0,92.0,77.0,75.0,70.0,62.0,79.0,67.0,80.0,63.0,66.0,78.0,82.0,74.0,77.0,34.0,63.0,55.0,16.0,16.0,9.0,14.0,9.0,34.4,63.0
23,81,86,39.0,72.0,2.0,3.0,4.0,179.0,72.0,81.0,74.0,59.0,83.0,59.0,86.0,81.0,76.0,80.0,86.0,81.0,78.0,85.0,78.0,83.0,79.0,59.0,74.0,63.0,76.0,59.0,69.0,78.0,81.0,65.0,79.0,34.0,72.0,70.0,5.0,6.0,10.0,15.0,7.0,69.2,69.0
32,85,85,43.0,95.0,4.0,4.0,4.0,180.0,71.0,85.0,84.0,44.0,85.0,85.0,85.0,88.0,85.0,79.0,86.0,76.0,71.0,83.0,86.0,82.0,86.0,68.0,67.0,66.0,83.0,51.0,49.0,85.0,86.0,76.0,85.0,34.0,38.0,54.0,12.0,12.0,13.0,13.0,11.0,73.1,52.0
33,75,75,3.5,19.0,1.0,4.0,3.0,180.0,79.0,73.0,70.0,64.0,76.0,72.0,78.0,74.0,72.0,75.0,76.0,68.0,73.0,91.0,75.0,78.0,75.0,66.0,89.0,75.0,72.0,70.0,72.0,72.0,75.0,73.0,71.0,34.0,68.0,67.0,14.0,14.0,7.0,16.0,11.0,7.7,70.0
27,84,84,45.0,42.0,3.0,4.0,4.0,173.0,75.0,79.0,83.0,49.0,84.0,77.0,88.0,83.0,79.0,78.0,87.0,88.0,79.0,82.0,79.0,91.0,84.0,64.0,79.0,81.0,84.0,79.0,34.0,82.0,83.0,74.0,89.0,34.0,42.0,30.0,15.0,9.0,8.0,14.0,15.0,94.5,34.0
28,78,78,14.0,1.0,2.0,4.0,4.0,170.0,63.0,78.0,74.0,66.0,79.0,70.0,79.0,84.0,83.0,82.0,79.0,75.0,70.0,86.0,80.0,87.0,77.0,63.0,83.0,61.0,78.0,69.0,57.0,74.0,80.0,73.0,76.0,34.0,57.0,57.0,14.0,7.0,13.0,10.0,12.0,29.4,59.0
29,83,83,35.5,49.0,1.0,4.0,4.0,177.0,75.0,83.0,74.0,64.0,83.0,76.0,85.0,86.0,78.0,82.0,83.0,90.0,87.0,86.0,84.0,71.0,82.0,69.0,88.0,68.0,78.0,62.0,40.0,82.0,83.0,77.0,81.0,34.0,35.0,33.0,12.0,12.0,13.0,15.0,13.0,67.5,24.0
22,82,88,49.0,89.0,3.0,2.0,5.0,178.0,68.0,84.0,73.0,52.0,83.0,73.0,85.0,81.0,83.0,81.0,85.0,80.0,75.0,85.0,74.0,83.0,76.0,46.0,78.0,56.0,77.0,63.0,65.0,76.0,86.0,63.0,76.0,34.0,49.0,51.0,14.0,15.0,15.0,8.0,10.0,102.9,65.0
24,82,85,41.5,100.0,1.0,4.0,4.0,175.0,73.0,81.0,75.0,35.0,84.0,70.0,84.0,85.0,84.0,82.0,86.0,78.0,72.0,86.0,76.0,83.0,83.0,54.0,74.0,51.0,80.0,68.0,44.0,80.0,87.0,74.0,84.0,34.0,65.0,42.0,11.0,14.0,14.0,12.0,14.0,82.0,59.0
29,82,82,30.0,29.0,4.0,4.0,4.0,177.0,71.0,82.0,75.0,47.0,85.0,85.0,84.0,81.0,72.0,82.0,88.0,69.0,67.0,76.0,82.0,83.0,75.0,58.0,75.0,71.0,68.0,59.0,66.0,79.0,86.0,79.0,87.0,34.0,42.0,53.0,14.0,7.0,12.0,6.0,10.0,42.0,64.0
26,75,78,7.5,18.0,1.0,4.0,3.0,175.0,79.0,63.0,73.0,79.0,79.0,48.0,75.0,63.0,67.0,74.0,76.0,76.0,75.0,81.0,74.0,81.0,75.0,82.0,78.0,74.0,74.0,66.0,70.0,72.0,74.0,70.0,70.0,34.0,65.0,67.0,14.0,8.0,15.0,10.0,8.0,13.3,71.0
37,82,82,2.2,60.0,3.0,4.0,4.0,177.0,80.0,84.0,72.0,48.0,86.0,82.0,84.0,80.0,79.0,86.0,88.0,63.0,64.0,66.0,77.0,75.0,84.0,73.0,72.0,80.0,86.0,40.0,53.0,74.0,86.0,79.0,69.33980582524272,40.0,58.0,50.0,14.0,15.0,14.0,12.0,13.0,54.33732394366198,45.983333333333334
31,75,75,4.6,9.0,1.0,3.0,4.0,175.0,68.0,66.0,72.0,62.0,76.0,66.0,77.0,69.0,66.0,75.0,75.0,76.0,74.0,85.0,76.0,84.0,73.0,71.0,86.0,64.0,76.0,78.0,70.0,74.0,74.0,63.0,74.0,34.0,65.0,71.0,16.0,6.0,8.0,6.0,9.0,6.0,62.0
32,76,76,6.0,18.0,1.0,3.0,3.0,178.0,80.0,75.0,70.0,63.0,78.0,69.0,77.0,73.0,75.0,73.0,73.0,78.0,79.0,85.0,74.0,73.0,75.0,59.0,75.0,83.0,75.0,56.0,69.0,71.0,80.0,71.0,72.0,34.0,66.0,64.0,9.0,16.0,8.0,10.0,7.0,9.0,60.0
