Age,Overall,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,DefensiveAwareness
30,91,91,125.5,350.0,4.0,5.0,4.0,181.0,70.0,94.0,82.0,55.0,94.0,82.0,88.0,85.0,83.0,93.0,91.0,76.0,76.0,79.0,91.0,78.0,91.0,63.0,89.0,74.0,91.0,76.0,66.0,88.0,94.0,83.0,89.0,58.73913043478261,65.0,53.0,15.0,13.0,5.0,10.0,13.0,232.2,68.0
32,83,83,28.5,61.0,3.0,4.0,4.0,183.0,80.0,67.0,83.0,85.0,82.0,75.0,82.0,66.0,75.0,76.0,83.0,73.0,71.0,72.0,82.0,85.0,83.0,92.0,91.0,82.0,80.0,81.0,80.0,83.0,82.0,71.0,81.0,58.73913043478261,79.0,75.0,16.0,16.0,11.0,6.0,8.0,48.5,80.0
35,87,87,32.0,190.0,4.0,4.0,4.0,172.0,66.0,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,79.0,67.0,83.0,58.0,82.0,62.0,80.0,78.0,90.0,82.0,92.0,58.73913043478261,75.0,71.0,13.0,9.0,7.0,14.0,9.0,65.6,70.0
25,83,87,50.0,47.0,1.0,3.0,3.0,189.0,83.0,77.0,79.0,81.0,84.0,58.0,83.0,80.0,69.0,82.0,84.0,73.0,75.0,76.0,84.0,72.0,84.0,81.0,84.0,79.0,78.0,81.0,84.0,78.0,83.0,58.0,80.0,58.73913043478261,84.0,76.0,9.0,12.0,9.0,13.0,14.0,108.8,80.0
24,84,89,63.5,120.0,3.0,3.0,3.0,172.0,68.0,69.0,69.0,53.0,86.0,75.0,83.0,75.0,67.0,79.0,87.0,80.0,76.0,91.0,89.0,90.0,69.0,78.0,95.0,69.0,72.0,79.0,84.0,83.0,83.0,73.0,85.0,58.73913043478261,75.0,79.0,11.0,5.0,13.0,14.0,11.0,112.7,74.0
24,87,92,119.5,210.0,3.0,3.0,4.0,180.0,74.0,78.0,72.0,72.0,91.0,70.0,88.0,84.0,64.0,87.0,89.0,80.0,82.0,88.0,88.0,79.0,68.0,76.0,90.0,74.0,66.0,75.0,82.0,77.0,86.0,45.0,90.0,58.73913043478261,76.0,77.0,7.0,13.0,10.0,10.0,9.0,253.9,76.0
29,85,85,52.5,90.0,3.0,4.0,3.0,176.0,75.0,85.0,72.0,61.0,86.0,56.0,80.0,85.0,76.0,84.0,83.0,72.0,69.0,73.0,88.0,82.0,83.0,59.0,93.0,75.0,80.0,79.0,83.0,83.0,86.0,67.0,86.0,58.73913043478261,81.0,70.0,14.0,12.0,5.0,10.0,13.0,107.6,82.0
26,85,87,66.0,100.0,3.0,5.0,4.0,191.0,76.0,64.0,80.0,86.0,85.0,74.0,84.0,80.0,78.0,85.0,86.0,66.0,70.0,62.0,83.0,63.0,83.0,85.0,91.0,87.0,80.0,79.0,78.0,79.0,82.0,56.0,84.0,58.73913043478261,79.0,74.0,7.0,10.0,7.0,16.0,7.0,117.2,78.0
23,80,86,33.0,38.0,3.0,4.0,4.0,176.0,70.0,72.0,67.0,61.0,81.0,68.0,84.0,69.0,68.0,79.0,83.0,86.0,83.0,85.0,80.0,89.0,89.0,84.0,87.0,83.0,78.0,84.0,75.0,74.0,79.0,68.0,83.0,58.73913043478261,74.0,65.0,5.0,12.0,6.0,13.0,14.0,69.3,73.0
28,87,87,79.5,155.0,3.0,4.0,4.0,165.0,60.0,82.0,60.0,57.0,90.0,64.0,91.0,85.0,64.0,89.0,92.0,68.0,60.0,91.0,87.0,94.0,60.0,67.0,76.0,54.0,58.0,89.0,85.0,78.0,89.0,64.0,94.0,58.73913043478261,82.0,84.0,12.0,12.0,15.0,15.0,10.0,147.1,78.0
