Age,Overall,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,DefensiveAwareness
40,75,75,0.0,30.0,2.0,2.0,1.0,188.0,88.0,25.0,25.0,25.0,62.0,25.0,25.0,79.0,80.0,58.0,52.0,30.0,34.0,42.0,75.0,58.0,56.0,66.0,32.0,72.0,25.0,42.0,25.0,25.0,25.0,75.0,47.544483985765126,25.0,25.0,25.0,78.0,67.0,90.0,84.0,70.0,130.9859922178988,16.03411131059246
27,89,91,94.0,200.0,3.0,3.0,1.0,188.0,86.0,20.0,14.0,14.0,61.0,18.0,23.0,15.0,20.0,66.0,40.0,64.0,63.0,60.0,88.0,48.0,70.0,66.0,41.0,78.0,18.0,38.0,27.0,20.0,70.0,51.0,70.0,18.4,15.0,8.0,87.0,82.0,93.0,88.0,88.0,181.0,29.0
35,90,90,13.5,86.0,5.0,4.0,1.0,193.0,93.0,15.0,13.0,25.0,60.0,11.0,30.0,14.0,11.0,68.0,46.0,54.0,60.0,51.0,87.0,35.0,68.0,77.0,43.0,80.0,16.0,29.0,30.0,12.0,70.0,47.0,70.0,18.4,10.0,11.0,88.0,88.0,91.0,89.0,88.0,22.3,17.0
27,83,85,33.0,83.0,3.0,4.0,1.0,185.0,77.0,17.0,19.0,15.0,55.0,20.0,14.0,18.0,16.0,56.0,40.0,53.0,44.0,55.0,80.0,55.0,65.0,77.0,45.0,70.0,13.0,45.0,24.0,18.0,69.0,45.0,65.0,18.4,20.0,12.0,83.0,78.0,87.0,80.0,86.0,65.2,21.0
24,84,88,48.0,18.0,3.0,3.0,1.0,190.0,93.0,15.0,12.0,20.0,43.0,13.0,26.0,30.0,17.0,53.0,38.0,64.0,62.0,68.0,83.0,53.0,65.0,80.0,39.0,79.0,17.0,32.0,15.0,11.0,64.0,27.0,64.0,18.4,18.0,14.0,84.0,80.0,87.0,83.0,86.0,70.8,12.0
25,84,89,49.5,45.0,2.0,4.0,1.0,191.0,89.0,18.0,15.0,17.0,55.0,16.0,32.0,28.0,16.0,46.0,40.0,49.0,51.0,39.0,82.0,55.0,64.0,74.0,39.0,78.0,20.0,30.0,25.0,15.0,60.0,15.0,65.0,18.4,16.0,19.0,83.0,81.0,85.0,84.0,86.0,87.9,23.0
28,84,85,33.5,81.0,3.0,4.0,1.0,195.0,88.0,22.0,16.0,26.0,50.0,13.0,13.0,22.0,20.0,51.0,35.0,59.0,57.0,49.0,80.0,49.0,62.0,60.0,40.0,70.0,16.0,37.0,13.0,12.0,66.0,42.0,60.0,18.4,20.0,20.0,85.0,83.0,82.0,83.0,85.0,66.2,11.0
29,76,76,5.0,40.0,1.0,3.0,1.0,196.0,90.0,23.0,12.0,14.0,49.0,8.0,20.0,33.0,21.0,54.0,32.0,60.0,58.0,61.0,58.0,52.0,64.0,76.0,45.0,64.0,19.0,40.0,19.0,13.0,63.0,41.0,61.0,18.4,21.0,14.0,78.0,75.0,85.0,75.0,79.0,9.5,23.0
29,90,92,99.0,250.0,4.0,4.0,1.0,187.0,85.0,18.0,14.0,11.0,61.0,14.0,21.0,18.0,12.0,63.0,30.0,38.0,50.0,39.0,86.0,43.0,66.0,79.0,35.0,78.0,10.0,43.0,22.0,11.0,70.0,25.0,70.0,18.4,13.0,10.0,88.0,85.0,88.0,88.0,90.0,210.4,25.0
32,74,74,2.1,16.0,1.0,5.0,1.0,186.0,83.0,17.0,12.0,15.0,59.0,13.0,30.0,15.0,14.0,65.0,47.0,57.0,45.0,49.0,71.0,64.0,54.0,70.0,43.0,65.0,18.0,38.0,30.0,13.0,69.0,34.0,67.0,18.4,14.0,19.0,73.0,71.0,72.0,72.0,76.0,3.8,30.0
