Age,Overall,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,DefensiveAwareness
34,88,88,44.5,135.0,5.0,4.0,3.0,182.0,83.0,80.0,93.0,84.0,83.0,90.0,83.0,86.0,82.0,77.0,86.0,76.0,69.0,75.0,92.0,78.0,89.0,69.0,78.0,85.0,88.0,87.0,41.0,91.0,84.0,83.0,87.0,28.236842105263158,45.0,38.0,27.0,25.0,31.0,33.0,37.0,91.2,42.0
30,85,85,53.0,220.0,4.0,3.0,4.0,176.0,73.0,83.0,84.0,83.0,84.0,86.0,85.0,86.0,85.0,82.0,89.0,80.0,80.0,92.0,89.0,83.0,82.0,90.0,86.0,63.0,83.0,73.0,49.0,89.0,85.0,79.0,90.0,28.236842105263158,54.0,49.0,14.0,8.0,14.0,13.0,14.0,97.57661188369151,43.0
32,92,92,119.5,270.0,5.0,4.0,4.0,185.0,81.0,71.0,95.0,90.0,85.0,89.0,85.0,79.0,85.0,70.0,88.0,77.0,79.0,77.0,93.0,82.0,90.0,85.0,76.0,86.0,87.0,81.0,49.0,95.0,81.0,90.0,88.0,28.236842105263158,42.0,19.0,15.0,6.0,12.0,8.0,10.0,197.2,35.0
36,91,91,45.0,270.0,5.0,4.0,5.0,187.0,83.0,87.0,95.0,90.0,80.0,86.0,88.0,81.0,84.0,77.0,88.0,85.0,88.0,86.0,94.0,74.0,94.0,95.0,77.0,77.0,93.0,63.0,29.0,95.0,76.0,88.0,95.0,28.236842105263158,32.0,24.0,7.0,11.0,15.0,14.0,11.0,83.3,24.0
27,90,90,129.5,240.0,4.0,5.0,3.0,188.0,89.0,80.0,94.0,86.0,85.0,88.0,83.0,83.0,65.0,86.0,85.0,65.0,74.0,71.0,92.0,70.0,91.0,79.0,83.0,85.0,86.0,80.0,44.0,94.0,87.0,91.0,91.0,28.236842105263158,36.0,38.0,8.0,10.0,11.0,14.0,11.0,246.1,50.0
22,91,95,194.0,230.0,4.0,4.0,5.0,182.0,73.0,78.0,93.0,72.0,85.0,83.0,93.0,80.0,69.0,71.0,91.0,97.0,97.0,92.0,93.0,83.0,86.0,78.0,88.0,77.0,82.0,62.0,38.0,92.0,82.0,79.0,88.0,28.236842105263158,34.0,32.0,13.0,5.0,7.0,11.0,6.0,373.5,26.0
34,80,80,10.5,36.0,2.0,3.0,3.0,184.0,83.0,80.0,80.0,90.0,83.0,73.0,80.0,78.0,68.0,82.0,85.0,45.0,37.0,54.0,83.0,61.0,85.0,92.0,75.0,86.0,86.0,84.0,69.0,85.0,83.0,85.0,85.0,28.236842105263158,74.0,63.0,14.0,16.0,14.0,16.0,15.0,22.1,44.0
23,85,89,78.0,145.0,3.0,4.0,4.0,174.0,72.0,56.0,85.0,87.0,78.0,88.0,83.0,78.0,43.0,73.0,85.0,86.0,83.0,86.0,89.0,89.0,80.0,88.0,80.0,84.0,74.0,86.0,45.0,86.0,81.0,74.0,83.0,28.236842105263158,31.0,44.0,11.0,8.0,8.0,8.0,13.0,138.5,55.0
34,86,86,33.0,180.0,3.0,4.0,3.0,179.0,74.0,69.0,90.0,79.0,74.0,84.0,78.0,68.0,60.0,60.0,82.0,85.0,85.0,76.0,91.0,76.0,87.0,80.0,76.0,66.0,67.0,87.0,49.0,92.0,76.0,85.0,88.0,28.236842105263158,52.0,54.0,15.0,14.0,7.0,15.0,11.0,62.7,45.0
33,81,81,16.5,41.0,2.0,4.0,4.0,180.0,70.0,77.0,84.0,64.0,77.0,84.0,87.0,82.0,68.0,68.0,84.0,87.0,86.0,80.0,80.0,83.0,82.0,63.0,78.0,67.0,78.0,58.0,58.0,84.0,76.0,76.0,84.0,28.236842105263158,54.0,45.0,14.0,13.0,13.0,16.0,8.0,34.7,44.0
29,86,86,68.0,73.0,2.0,4.0,3.0,180.0,77.0,77.0,89.0,82.0,81.0,81.0,86.0,75.0,62.0,75.0,85.0,80.0,78.0,77.0,89.0,70.0,83.0,76.0,79.0,75.0,83.0,61.0,42.0,87.0,78.0,85.0,78.0,28.236842105263158,41.0,41.0,15.0,12.0,7.0,12.0,10.0,142.8,44.0
35,77,77,4.5,15.0,1.0,2.0,4.0,192.0,83.0,68.0,77.0,84.0,77.0,83.0,78.0,78.0,73.0,74.0,77.0,79.0,69.0,70.0,72.0,82.0,80.0,86.0,82.0,80.0,74.0,77.0,56.0,76.0,75.0,71.0,73.0,28.236842105263158,57.0,53.0,7.0,13.0,12.0,15.0,15.0,7.0,45.0
31,79,79,15.0,79.0,2.0,3.0,4.0,178.0,82.0,75.0,79.0,84.0,75.0,70.0,79.0,66.0,60.0,72.0,76.0,79.0,87.0,80.0,80.0,79.0,79.0,91.0,76.0,86.0,68.0,83.0,45.0,80.0,74.0,75.0,73.0,28.236842105263158,56.0,53.0,12.0,13.0,8.0,14.0,10.0,28.5,51.0
32,81,81,21.0,48.0,3.0,4.0,4.0,192.0,83.0,77.0,80.0,79.0,81.0,79.0,77.0,79.0,72.0,74.0,82.0,78.0,80.0,70.0,78.0,80.0,84.0,78.0,77.0,87.0,82.0,77.0,38.0,79.0,81.0,79.0,79.0,28.236842105263158,42.0,39.0,14.0,15.0,10.0,10.0,15.0,35.7,40.0
30,84,84,41.5,88.0,2.0,5.0,4.0,170.0,68.0,74.0,88.0,74.0,82.0,84.0,87.0,82.0,76.0,66.0,87.0,83.0,81.0,91.0,86.0,91.0,84.0,78.0,75.0,69.0,74.0,62.0,44.0,90.0,80.0,85.0,85.0,28.236842105263158,33.0,26.0,6.0,13.0,9.0,7.0,7.0,78.9,34.0
31,79,79,15.0,32.0,2.0,4.0,4.0,180.0,77.0,67.0,80.0,72.0,75.0,76.0,78.0,76.0,80.0,66.0,79.0,87.0,81.0,83.0,75.0,90.0,86.0,83.0,81.0,82.0,72.0,69.0,56.0,77.0,78.0,85.0,76.0,28.236842105263158,45.0,35.0,9.0,16.0,7.0,8.0,7.0,24.0,43.0
20,88,93,137.5,110.0,4.0,3.0,3.0,194.0,94.0,47.0,94.0,69.0,77.0,88.0,78.0,77.0,62.0,51.0,85.0,82.0,94.0,75.0,88.0,72.0,94.0,74.0,82.0,93.0,87.0,85.0,43.0,89.0,71.0,76.0,84.0,28.236842105263158,43.0,30.0,7.0,14.0,13.0,11.0,7.0,244.1,44.0
30,83,83,35.5,120.0,3.0,4.0,3.0,188.0,81.0,73.0,84.0,85.0,81.0,82.0,84.0,75.0,51.0,75.0,82.0,63.0,80.0,75.0,82.0,65.0,84.0,74.0,82.0,84.0,74.0,81.0,53.0,84.0,78.0,92.0,81.0,28.236842105263158,38.0,30.0,7.0,11.0,13.0,14.0,10.0,67.5,45.0
33,79,79,11.0,24.0,2.0,4.0,4.0,183.0,75.0,75.0,76.0,76.0,77.0,75.0,82.0,83.0,70.0,74.0,84.0,84.0,75.0,88.0,81.0,82.0,78.0,75.0,75.0,74.0,78.0,77.0,29.0,80.0,82.0,71.0,85.0,28.236842105263158,45.0,39.0,9.0,16.0,11.0,13.0,8.0,15.4,45.0
30,76,76,7.5,31.0,3.0,3.0,4.0,176.0,72.0,74.0,76.0,75.0,74.0,69.0,77.0,74.0,57.0,68.0,78.0,73.0,73.0,86.0,78.0,80.0,77.0,89.0,82.0,72.0,75.0,78.0,52.0,76.0,74.0,73.0,74.0,28.236842105263158,61.0,57.0,10.0,6.0,12.0,7.0,15.0,14.3,49.0
