Age,Overall,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,DefensiveAwareness,cluster,Player Name
30,91,91,125.5,350.0,4.0,5.0,4.0,181.0,70.0,94.0,82.0,55.0,94.0,82.0,88.0,85.0,83.0,93.0,91.0,76.0,76.0,79.0,91.0,78.0,91.0,63.0,89.0,74.0,91.0,76.0,66.0,88.0,94.0,83.0,89.0,58.73913043478261,65.0,53.0,15.0,13.0,5.0,10.0,13.0,232.2,68.0,1,K. De Bruyne
32,83,83,28.5,61.0,3.0,4.0,4.0,183.0,80.0,67.0,83.0,85.0,82.0,75.0,82.0,66.0,75.0,76.0,83.0,73.0,71.0,72.0,82.0,85.0,83.0,92.0,91.0,82.0,80.0,81.0,80.0,83.0,82.0,71.0,81.0,58.73913043478261,79.0,75.0,16.0,16.0,11.0,6.0,8.0,48.5,80.0,1,Paulinho
35,87,87,32.0,190.0,4.0,4.0,4.0,172.0,66.0,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,79.0,67.0,83.0,58.0,82.0,62.0,80.0,78.0,90.0,82.0,92.0,58.73913043478261,75.0,71.0,13.0,9.0,7.0,14.0,9.0,65.6,70.0,1,L. Modrić
25,83,87,50.0,47.0,1.0,3.0,3.0,189.0,83.0,77.0,79.0,81.0,84.0,58.0,83.0,80.0,69.0,82.0,84.0,73.0,75.0,76.0,84.0,72.0,84.0,81.0,84.0,79.0,78.0,81.0,84.0,78.0,83.0,58.0,80.0,58.73913043478261,84.0,76.0,9.0,12.0,9.0,13.0,14.0,108.8,80.0,1,Merino
24,84,89,63.5,120.0,3.0,3.0,3.0,172.0,68.0,69.0,69.0,53.0,86.0,75.0,83.0,75.0,67.0,79.0,87.0,80.0,76.0,91.0,89.0,90.0,69.0,78.0,95.0,69.0,72.0,79.0,84.0,83.0,83.0,73.0,85.0,58.73913043478261,75.0,79.0,11.0,5.0,13.0,14.0,11.0,112.7,74.0,1,N. Barella
24,87,92,119.5,210.0,3.0,3.0,4.0,180.0,74.0,78.0,72.0,72.0,91.0,70.0,88.0,84.0,64.0,87.0,89.0,80.0,82.0,88.0,88.0,79.0,68.0,76.0,90.0,74.0,66.0,75.0,82.0,77.0,86.0,45.0,90.0,58.73913043478261,76.0,77.0,7.0,13.0,10.0,10.0,9.0,253.9,76.0,1,F. de Jong
29,85,85,52.5,90.0,3.0,4.0,3.0,176.0,75.0,85.0,72.0,61.0,86.0,56.0,80.0,85.0,76.0,84.0,83.0,72.0,69.0,73.0,88.0,82.0,83.0,59.0,93.0,75.0,80.0,79.0,83.0,83.0,86.0,67.0,86.0,58.73913043478261,81.0,70.0,14.0,12.0,5.0,10.0,13.0,107.6,82.0,1,Koke
26,85,87,66.0,100.0,3.0,5.0,4.0,191.0,76.0,64.0,80.0,86.0,85.0,74.0,84.0,80.0,78.0,85.0,86.0,66.0,70.0,62.0,83.0,63.0,83.0,85.0,91.0,87.0,80.0,79.0,78.0,79.0,82.0,56.0,84.0,58.73913043478261,79.0,74.0,7.0,10.0,7.0,16.0,7.0,117.2,78.0,1,S. Milinković-Savić
23,80,86,33.0,38.0,3.0,4.0,4.0,176.0,70.0,72.0,67.0,61.0,81.0,68.0,84.0,69.0,68.0,79.0,83.0,86.0,83.0,85.0,80.0,89.0,89.0,84.0,87.0,83.0,78.0,84.0,75.0,74.0,79.0,68.0,83.0,58.73913043478261,74.0,65.0,5.0,12.0,6.0,13.0,14.0,69.3,73.0,1,Renato Sanches
28,87,87,79.5,155.0,3.0,4.0,4.0,165.0,60.0,82.0,60.0,57.0,90.0,64.0,91.0,85.0,64.0,89.0,92.0,68.0,60.0,91.0,87.0,94.0,60.0,67.0,76.0,54.0,58.0,89.0,85.0,78.0,89.0,64.0,94.0,58.73913043478261,82.0,84.0,12.0,12.0,15.0,15.0,10.0,147.1,78.0,1,M. Verratti
30,86,86,65.0,180.0,3.0,3.0,5.0,174.0,70.0,78.0,68.0,54.0,90.0,82.0,90.0,85.0,77.0,89.0,92.0,72.0,55.0,91.0,84.0,90.0,75.0,80.0,74.0,59.0,73.0,72.0,82.0,75.0,85.0,75.0,88.0,58.73913043478261,71.0,68.0,6.0,11.0,7.0,9.0,13.0,120.3,67.0,1,Thiago
31,84,84,29.5,140.0,3.0,3.0,3.0,182.0,80.0,82.0,73.0,65.0,85.0,71.0,78.0,80.0,74.0,87.0,83.0,67.0,66.0,69.0,85.0,68.0,77.0,78.0,86.0,78.0,75.0,83.0,81.0,78.0,80.0,64.0,82.0,58.73913043478261,81.0,76.0,7.0,13.0,7.0,9.0,13.0,54.6,79.0,1,J. Henderson
30,85,85,51.5,185.0,3.0,4.0,4.0,180.0,80.0,78.0,80.0,50.0,88.0,75.0,86.0,86.0,80.0,85.0,89.0,66.0,65.0,77.0,86.0,77.0,79.0,61.0,74.0,73.0,81.0,70.0,78.0,82.0,86.0,80.0,87.0,58.73913043478261,75.0,67.0,11.0,14.0,5.0,5.0,13.0,95.3,76.0,1,I. Gündoğan
33,80,80,13.0,29.0,3.0,3.0,3.0,176.0,65.0,73.0,80.0,59.0,82.0,87.0,70.0,73.0,68.0,79.0,79.0,70.0,71.0,69.0,80.0,83.0,93.0,74.0,69.0,84.0,90.0,85.0,68.0,81.0,81.0,63.0,83.0,58.73913043478261,83.0,79.0,11.0,11.0,14.0,8.0,11.0,19.5,69.0,1,R. Nainggolan
32,80,80,16.5,42.0,2.0,3.0,3.0,181.0,74.0,79.0,76.0,69.0,80.0,69.0,77.0,78.0,84.0,81.0,80.0,73.0,75.0,73.0,80.0,71.0,85.0,68.0,87.0,73.0,80.0,74.0,79.0,76.0,78.0,61.0,77.0,58.73913043478261,76.0,75.0,11.0,9.0,10.0,13.0,13.0,34.7,76.0,1,D. Wass
32,83,83,28.5,33.0,2.0,4.0,4.0,186.0,86.0,75.0,78.0,65.0,85.0,77.0,82.0,80.0,83.0,83.0,81.0,73.0,70.0,73.0,86.0,74.0,81.0,49.0,85.0,80.0,81.0,67.0,72.0,74.0,83.0,78.0,82.0,58.73913043478261,73.0,64.0,6.0,11.0,16.0,15.0,8.0,45.6,75.0,1,21 Renato Augusto
30,90,90,100.0,230.0,4.0,3.0,2.0,168.0,70.0,68.0,65.0,54.0,82.0,56.0,79.0,49.0,49.0,79.0,81.0,82.0,75.0,82.0,93.0,92.0,71.0,77.0,97.0,72.0,65.0,93.0,91.0,72.0,78.0,54.0,84.0,58.73913043478261,93.0,86.0,15.0,12.0,10.0,7.0,10.0,185.0,90.0,1,N. Kanté
30,81,81,24.5,24.0,1.0,2.0,4.0,182.0,70.0,77.0,77.0,65.0,82.0,73.0,81.0,83.0,78.0,77.0,83.0,75.0,77.0,81.0,81.0,71.0,77.0,56.0,85.0,70.0,80.0,77.0,70.0,82.0,85.0,73.0,85.0,58.73913043478261,73.0,67.0,7.0,8.0,14.0,10.0,12.0,34.3,69.0,1,21 I. Fernández
24,82,87,46.0,89.0,2.0,4.0,3.0,180.0,80.0,78.0,66.0,53.0,88.0,82.0,76.0,85.0,84.0,85.0,82.0,64.0,54.0,68.0,80.0,73.0,86.0,67.0,79.0,67.0,84.0,83.0,78.0,65.0,86.0,76.0,84.0,58.73913043478261,77.0,70.0,16.0,12.0,10.0,8.0,10.0,90.9,76.0,1,Rúben Neves
32,86,86,53.5,64.0,2.0,4.0,3.0,182.0,74.0,86.0,83.0,61.0,92.0,72.0,82.0,88.0,90.0,90.0,86.0,52.0,49.0,63.0,80.0,72.0,81.0,49.0,78.0,70.0,88.0,58.0,81.0,82.0,89.0,88.0,85.0,58.73913043478261,70.0,69.0,5.0,9.0,12.0,14.0,8.0,112.4,70.0,1,Parejo
24,76,83,15.0,11.0,1.0,4.0,4.0,175.0,70.0,69.0,71.0,69.0,75.0,59.0,77.0,83.0,75.0,73.0,80.0,87.0,84.0,91.0,71.0,78.0,81.0,90.0,86.0,60.0,72.0,81.0,67.0,69.0,75.0,69.0,67.0,58.73913043478261,75.0,76.0,7.0,15.0,11.0,14.0,14.0,27.0,57.0,1,L. Robertone
25,83,86,48.0,71.0,3.0,3.0,4.0,171.0,66.0,83.0,75.0,54.0,83.0,76.0,88.0,85.0,81.0,76.0,86.0,84.0,80.0,88.0,81.0,82.0,79.0,69.0,76.0,55.0,77.0,63.0,66.0,80.0,83.0,68.0,79.0,58.73913043478261,59.0,63.0,11.0,15.0,13.0,7.0,14.0,102.0,55.0,1,T. Lemar
