Age,Overall,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,DefensiveAwareness,cluster,Player Name
35,88,88,24.0,115.0,4.0,3.0,3.0,184.0,82.0,66.0,65.0,92.0,82.0,69.0,65.0,74.0,76.0,83.0,83.0,71.0,69.0,77.0,92.0,66.0,79.0,93.0,78.0,84.0,64.0,90.0,87.0,73.0,71.0,92.0,88.0,73.73469387755102,89.0,91.0,11.0,8.0,9.0,7.0,11.0,44.4,84.0,1,Sergio Ramos
28,80,80,12.0,2.0,2.0,3.0,3.0,185.0,83.0,68.0,57.0,69.0,78.0,53.0,69.0,75.0,77.0,84.0,73.0,69.0,72.0,68.0,76.0,73.0,87.0,74.0,82.0,84.0,86.0,84.0,82.0,53.0,75.0,50.0,78.0,78.0,83.0,81.0,12.0,16.0,7.0,12.0,6.0,25.2,69.04920514761544,1,19 Y. Rakitskyi
31,74,74,2.9,12.0,1.0,3.0,3.0,178.0,78.0,69.0,55.0,69.0,73.0,55.0,71.0,83.0,69.0,71.0,74.0,81.0,79.0,79.0,73.0,79.0,83.0,80.0,80.0,81.0,67.0,83.0,73.0,73.0,73.0,67.0,79.0,73.73469387755102,73.0,71.0,9.0,13.0,7.0,14.0,11.0,4.4,71.0,1,R. Delgado
28,76,76,7.0,38.0,2.0,3.0,3.0,182.0,77.0,78.0,58.0,64.0,75.0,66.0,74.0,80.0,81.0,75.0,76.0,69.0,72.0,71.0,72.0,70.0,78.0,73.0,74.0,74.0,72.0,74.0,77.0,64.0,66.0,80.0,77.0,73.73469387755102,77.0,75.0,14.0,13.0,14.0,14.0,11.0,11.9,74.0,1,R. Rodríguez
29,89,89,86.0,230.0,4.0,3.0,2.0,193.0,92.0,53.0,52.0,87.0,79.0,45.0,70.0,60.0,70.0,86.0,76.0,66.0,88.0,61.0,87.0,53.0,81.0,90.0,69.0,92.0,64.0,83.0,90.0,47.0,65.0,62.0,90.0,73.73469387755102,92.0,86.0,13.0,10.0,13.0,11.0,11.0,159.1,92.0,1,V. van Dijk
28,77,78,10.0,1.0,1.0,4.0,2.0,180.0,73.0,71.0,68.0,76.0,73.0,67.0,71.0,63.0,51.0,73.0,73.0,78.0,78.0,75.0,76.0,81.0,72.0,82.0,85.0,79.0,73.0,85.0,76.0,75.0,68.0,54.0,73.0,73.73469387755102,79.0,79.0,9.0,10.0,8.0,13.0,5.0,21.8,76.0,1,T. Holeš
24,76,80,9.5,14.0,2.0,4.0,3.0,184.0,74.0,72.0,64.0,72.0,79.0,68.0,76.0,74.0,63.0,84.0,82.0,71.0,73.0,73.0,78.0,75.0,77.0,75.0,74.0,80.0,72.0,67.0,77.0,64.0,77.0,54.0,82.0,73.73469387755102,74.0,72.0,6.0,11.0,12.0,14.0,10.0,15.0,73.0,1,R. Bazoer
27,87,90,90.5,135.0,3.0,3.0,3.0,183.0,75.0,68.0,51.0,88.0,84.0,35.0,69.0,58.0,32.0,85.0,79.0,81.0,81.0,69.0,87.0,67.0,65.0,92.0,83.0,78.0,45.0,81.0,88.0,68.0,74.0,52.0,86.0,73.73469387755102,89.0,89.0,6.0,6.0,12.0,10.0,13.0,174.2,89.0,1,Marquinhos
31,83,83,25.0,125.0,3.0,3.0,2.0,178.0,77.0,80.0,46.0,77.0,79.0,51.0,68.0,68.0,58.0,80.0,77.0,69.0,63.0,67.0,86.0,73.0,68.0,83.0,77.0,70.0,60.0,87.0,84.0,62.0,72.0,66.0,78.0,73.73469387755102,85.0,84.0,13.0,9.0,10.0,6.0,5.0,46.3,85.0,1,Azpilicueta
28,80,80,18.0,34.0,2.0,3.0,2.0,184.0,83.0,53.0,65.0,83.0,72.0,64.0,54.0,58.0,66.0,80.0,65.0,65.0,74.0,63.0,76.0,63.0,83.0,86.0,76.0,83.0,71.0,81.0,78.0,68.0,65.0,61.0,78.0,73.73469387755102,85.0,82.0,14.0,14.0,9.0,13.0,10.0,30.6,79.0,1,M. Hinteregger
34,81,81,8.5,18.0,3.0,3.0,3.0,189.0,86.0,70.0,54.0,78.0,76.0,52.0,64.0,66.0,70.0,74.0,70.0,74.0,78.0,56.0,81.0,60.0,80.0,89.0,72.0,80.0,66.0,80.0,79.0,56.0,66.0,66.0,81.0,73.73469387755102,84.0,85.0,6.0,10.0,9.0,12.0,7.0,17.0,84.0,1,J. Vertonghen
28,78,78,12.5,48.0,2.0,4.0,3.0,182.0,71.0,78.0,60.0,69.0,75.0,42.0,75.0,78.0,70.0,73.0,76.0,71.0,76.0,70.0,78.0,69.0,69.0,81.0,86.0,76.0,68.0,76.0,75.0,73.0,68.0,43.0,74.0,73.73469387755102,76.0,74.0,10.0,16.0,9.0,12.0,7.0,23.8,74.0,1,D. Sidibé
35,81,81,5.5,13.0,3.0,2.0,2.0,189.0,84.0,76.0,54.0,80.0,72.0,62.0,65.0,84.0,82.0,70.0,62.0,65.0,70.0,51.0,75.0,43.0,81.0,65.0,78.0,87.0,74.0,76.0,80.0,58.0,58.0,78.0,77.0,73.73469387755102,84.0,83.0,13.0,14.0,10.0,9.0,5.0,11.0,85.0,1,20 J. Mathieu
32,86,86,44.0,95.0,4.0,3.0,3.0,191.0,96.0,65.0,57.0,88.0,82.0,61.0,69.0,66.0,53.0,86.0,79.0,47.0,64.0,61.0,88.0,62.0,71.0,70.0,66.0,86.0,49.0,71.0,89.0,57.0,80.0,68.0,89.0,73.73469387755102,90.0,86.0,15.0,6.0,10.0,5.0,6.0,74.8,90.0,1,M. Hummels
33,79,79,8.5,76.0,4.0,3.0,3.0,189.0,86.0,68.0,55.0,80.0,77.0,63.0,65.0,70.0,72.0,80.0,78.0,57.0,60.0,66.0,74.0,55.0,81.0,75.0,67.0,77.0,72.0,84.0,78.0,54.0,71.0,75.0,75.0,73.73469387755102,81.0,78.0,11.0,12.0,10.0,7.0,14.0,16.2,76.0,1,21 David Luiz
30,80,80,17.5,28.0,3.0,3.0,3.0,184.0,73.0,57.0,55.0,78.0,79.0,43.0,70.0,66.0,51.0,79.0,78.0,71.0,74.0,70.0,82.0,71.0,73.0,88.0,69.0,74.0,68.0,77.0,83.0,61.0,76.0,52.0,76.0,73.73469387755102,80.0,81.0,10.0,15.0,13.0,12.0,8.0,36.8,79.0,1,Bartra
36,85,85,9.5,105.0,4.0,3.0,2.0,183.0,79.0,60.0,40.0,81.0,80.0,61.0,67.0,62.0,61.0,80.0,79.0,52.0,54.0,67.0,82.0,66.0,71.0,88.0,68.0,82.0,65.0,76.0,88.0,59.0,71.0,60.0,86.0,73.73469387755102,86.0,84.0,9.0,12.0,5.0,9.0,10.0,17.6,87.0,1,Thiago Silva
