Name
Sergio Ramos
19 Y. Rakitskyi
R. Delgado
R. Rodríguez
V. van Dijk
T. Holeš
R. Bazoer
Marquinhos
Azpilicueta
M. Hinteregger
J. Vertonghen
D. Sidibé
20 J. Mathieu
M. Hummels
21 David Luiz
Bartra
Thiago Silva
Éder Militão
21 J. Holebas
F. Schär
N. Gavory
Mario Hermoso
Juiano Mestres
T. Alderweireld
21 J. Frendado
19 G. Mercado
G. Gönül
J. St. Juste
Arbilla
21 A. Pereira
Iñigo Martínez
Piqué
Gabriel Paulista
A. Laporte
M. de Ligt
L. Bonucci
Kaimo Lima
A. Mandi
L. Martínez Quarta
E. Dier
M. Ginter
J. Jacobson
H. Maguire
17 José Enrique
M. Tisserand
M. Akanji
C. Coady
D. Bronn
A. Rispoli
R. Varane
Diego Carlos
A. Najar
O. Boscagli
P. Díaz
R. Saïss
G. Dzhikiya
André Ramalho
N. Domínguez
F. Tudor
G. Trauner
J. Cuffaut
J. Koundé
K. Vogt
D. Martínez
20 E. Garay
J. Gouweleeuw
E. Insúa
L. Villalba
P. Oniangué
Yeray
20 L. Perrin
S. Kjær
J. Denayer
A. Rüdiger
R. De Laet
17 Roger
S. Vegas
D. Luckassen
A. Scholz
J. Báez
16 D. Agger
N. Otamendi
16 Rodrigo Caio
K. Barmen
J. Vanlerberghe
Pepe
M. Rojo
L. Krejčí
Rafael Tolói
C. Săpunaru
Rúben Dias
20 A. Rosi
G. Medel
Josué Chiamulera
21 G. Kagelmacher
J. Timber
21 E. Schetino
W. Janssen
21 Miranda
F. Acerbi
Zhang Linpeng
Nacho Fernández
Y. Barbet
E. Ndicka
M. Morishige
Javi García
N. Stark
V. Manceau
Sin Se Gye
J. Matip
Li Ang
J. Tarkowski
N. Boilesen
H. Dalsgaard
K. Théophile-Catherine
Zainadine
R. Ziegler
S. de Vrij
21 V. Ćorluka
M. Pouraliganji
Ailton Valpaços
A. Djiku
Teixe Gaúcho
19 N. Pareja
21 S. Bender
M. Thychosen
M. Olivera
Fali
A. Dragović
21 T. Shiotani
X. Kouassi
A. Farrell
O. Alderete
21 N. Nkoulou
A. Touba
E. Sviatchenko
20 V. Kompany
S. Vittor
T. Mings
N. Viergever
Ilie Sánchez
19 J. Van Damme
Osmar
D. Upamecano
A. Santamaría
21 D. Abraham
Cris Laranjeiros
21 J. Alonso
G. Peruzzi
C. Söyüncü
Edgar Ié
Daniel Carriço
A. Barboza
D. Godín
K. Rosenberry
E. Marxen
G. Tzavellas
E. Konsa
D. Djené
M. Meulensteen
M. Keane
20 M. Caligiuri
F. Daprelà
C. Mbemba
Dória
M. Škriniar
J. Bijol
J. Murillo
L. González Pirez
P. Martinez
R. McCrorie
O. El Hajjam
M. Wöber
O. Vranješ
Enaldo Toxeto
19 M. Kosanović
C. Goldson
20 D. Schwaab
K. Ajer
B. Dibassy
N. Elvedi
21 A. Romao
G. Donati
D. Arismendi
N. Tripichio
B. Franjic
N. Tenaglia
E. Brítez
Antônio Chiamuloira
21 H. Kryeziu
Z. Feddal
M. de los Santos
16 P. Mexès
J. Galván
A. Soto
C. Townsend
Y. Misao
F. Lejeune
K. Naughton
G. Cameron
H. Ishihara
D. Vida
S. Coates
H. Jele
Kim Young Gwon
14 Lúcio
C. Mulgrew
Rúben Semedo
T. Sainsbury
A. Tuanzebe
T. Iwata
L. De Bock
O. Banks
R. Funes Mori
L. Cabrera
P. Hatzidiakos
A. Bastoni
21 T. Lam
21 M. Hamdy
21 Hilton
C. Montes
Yu Dabao
G. Bussmann
B. Caicedo
21 R. Fanni
20 B. Höwedes
B. Paulsen
Pablo
Eric García
J. Okumu
J. Giménez
T. Kolodziejczak
S. Gigot
B. Mee
D. Suga
T. Serbest
Hernán
19 Vasco Fernandes
A. Coly
G. Michailidis
V. Nelsson
E. Cobbaut
Tony Abranjes
Diego Llorente
Dante
19 S. Tasci
O. Toprak
F. Calvo
V. Chiricheș
E. Wiemberg
D. Sugioka
T. Ream
F. Tomori
J. Todibo
Víctor Ruiz
O. Alanís
M. Kempf
W. Hoedt
W. Anton
L. Koscielny
T. Payne
P. Dawidowicz
M. Matvienko
S. Bornauw
21 Fabiano
Joaquín
M. Udol
M. Senesi
M. Dolan
F. Meza
Carlos Ruiz
Z. Vanheusden
N. Aguerd
U. Jenssen
L. Dunk
R. Williams
21 Welinton
P. Filipović
J. Andersen
Raúl
D. Sánchez
Juanma
Nuno Reis
L. Wahlqvist
J. Babin
S. Deli
M. Niakhaté
S. Sasaki
J. Insaurralde
J. Börner
Lucas Veríssimo
Sergi Gómez
N. Breitenbruch
21 M. Madl
Jang Ho Ik
F. Medina
M. Kamiński
J. Stephens
R. Gagliolo
J. Gradit
J. Van den Bergh
E. Aguilera
S. Miangue
W. Saliba
L. Balogun
M. Le Marchand
M. Valjent
16 Breno
J. Morel
Bustinza
C. Basham
Sokratis
Lombán
Kwon Kyung Won
Aritz Elustondo
21 M. Milligan
N. Pallois
Varela
T. Edwards
V. Vevatne
Marlon
J. Hendry
J. Van Cleemput
T. Kádár
Y. Mina
19 K. Mbodji
M. Simakan
21 D. Fox
K. Hansen
C. Izquierdoz
21 V. Elm
P. Aguilar
M. Lacroix
R. Lauritsen
J. Murillo
D. Lenihan
Gonzalo Verdú
J. Egan
L. Kelly
21 G. Gigliotti
Jorge Sáenz
José Fonte
S. Taniguchi
Paulo Vinícius
A. Frías
J. Bruma
C. Dawson
19 N. Pejčinović
B. Davies
S. Botman
C. Halkett
Hong Jeong Ho
David García
D. Grigore
S. Hutchinson
M. Benatia
M. Demetriou
A. Ogbonna
21 Bruno Viana
S. Memišević
R. Czichos
M. Lemos
Raúl Albiol
T. Kalas
H. Mier
David Costas
S. Savić
A. Pelmard
I. Drešević
G. Mancini
Luiz Felipe
A. Jędrzejczyk
21 Diego Ângelo
20 S. Schuppan
Kiko Olivas
A. Hughes
S. Salger
R. Gumny
Vanderleiton
Róber
E. Cömert
21 Bastos
D. Andrew
Guitián
C. Shaughnessy
N. Milenković
B. Behrendt
A. Walkes
M. te Wierik
I. Reyes
T. Blackmon
M. Frydrych
Rafael Cachoira
Z. Al Sahafi
L. Sigali
M. Villanueva
R. Pröpper
W. Zimmerman
K. Itakura
B. Chardonnet
Osvaldão Murilo
F. Lustenberger
M. Friedrich
F. Pogba
Gabriel
Aridane
K. Mac Allister
21 A. Cistana
L. Caldirola
Nathan
J. Vestergaard
B. Ndoye
21 Óscar Rubio
L. Balerdi
D. Granli
H. Mendes
Y. Meriah
Kim Kee Hee
B. Djimsiti
B. Badiashile
E. Pinnock
M. Nervo
16 Pedro Geromel
J. Mensah
B. Valdez
K. Koulibaly
M. Besler
S. Nsoki
M. Pazdan
G. Buckley
21 N. Tomović
J. Glesnes
J. Castelletto
J. Angulo
D. Williams
J. Okore
21 K. Mets
A. Ahmedhodžić
D. Da Silva
U. Hünemeier
A. Donatti
M. Lode
Luan Peres
P. Jagielka
Duirval Diniz
Toti
J. Une-Larsson
V. Găman
M. Helik
N. Araújo
N. Thompson
E. Hewitt
21 K. O'Connor
Iván González
F. Coloccini
B. Tozer
C. Avinel
S. Schonlau
M. Boxall
M. Angha
A. Maxsø
G. Shoji
19 Gil
C. Nelson
S. Strandberg
Kim Min Jae
Fontàs
I. Lichnovsky
21 Emu Teixeira
21 F. Monteseirín
19 B. Koné
20 R. Austin
M. Yoshida
F. Uduokhai
19 David García
21 A. Chedjou
Laguardia
I. Traoré
B. Tuiloma
K. Tshiembe
D. Henry
A. Sheehan
F. Ceccherini
A. Mumin
19 T. Oude Kotte
M. Kilman
A. O'Connor
A. Milošević
C. Menz
Roberto Soira
D. Doekhi
Gonçalo Inácio
L. Broxham
J. Rasmussen
Vincente Dourado
Ricardo Mangas
N. Süle
D. Rosero
E. Rodríguez
21 M. Zaldivia
S. Ajayi
Juli Freitinho
P. Djilobodji
S. Sinyan
W. Orban
M. Thiaw
20 A. Sulu
12 K. Kaladze
M. Bjørnbak
T. Clarke
J. Souttar
T. Koga
M. Fraser
J. Fjóluson
Diego González
S. Long
M. Dárdai
Francés
S. O'Neill
P. Sweeney
21 L. Del Pino Mago
S. Papagiannopoulos
I. Nedelcearu
Ibañez
Vieirundinho
17 M. Romero
A. Çalık
W. Tesillo
K. Finnsson
16 Luan
D. Boyata
H. Eyjólfsson
Fran Vélez
B. White
D. Braghieri
A. Hanche-Olsen
21 F. Dagerstål
Catena
Eric Curbelo
Jorge Meré
I. Diveev
M. Chanot
A. Webster
21 B. Vidal
D. Siovas
J. Lucumí
A. Szalai
T. Lockyer
B. Omeragic
L. Giannetti
J. Opoku
B. Espinosa
M. Pavlović
D. Sweeney
21 A. Wisdom
18 D. Astori
O. Kossounou
K. Günter
C. Lema
P. Jansson
L. Cooper
Jang Hyeon Soo
David Goldar
José Amo
J. Moore-Taylor
Dani Calvo
Jordi Amat
A. Trusty
M. Torres
E. Zavaleta
K. Manolas
S. Lewkot
21 R. Coetzee
Davi Parrela
E. Aiwu
S. Taylor
M. Trapp
L. Moore
R. Camacho
Paulo Oliveira
M. Sakho
Gwon Wan Gyu
João Basso
A. Wilkinson
21 Botía
O. Murillo
Y. Abdelhamid
I. Zabarnyi
P. Hanlon
21 N. Onuoha
J. Sands
M. Nawrocki
V. Wormgoor
18 J. Terry
Domingos Duarte
21 M. Dos Santos
Germán
M. Fenger
P. Lienhart
A. Franco
L. Østigård
Thiago Martins
21 Alemão
M. Ngadeu
D. Lewington
R. Pérez
C. Cuesta
A. Semenov
J. de Wijs
K. Watts
G. Ferrari
Fabiano Sonta
S. Sunzu
B. Zech
K. Omeruo
A. Sørensen
Bremer
D. Iorfa
20 Alexis
21 A. Granqvist
M. Fofana
M. Dyrestam
S. Caulker
R. Dickie
Kim Kwang Suk
S. Gartenmann
S. Breitkreuz
C. Schindler
L. Hejda
L. Colwill
Maracás
M. Pearson
Marc Valiente
L. Štetina
J. Medić
A. Cochrane
O. Duarte
V. Ghiță
A. Pérez
19 S. Lowry
J. Tverskov
V. Lampropoulos
21 L. Landre
Daniel Ayala
S. Gregersen
B. Kouyaté
S. Rosted
M. Guéhi
M. Salisu
L. Quintana
A. Obileye
A. Pieper
Pulido
P. Cissé
S. Magkeev
21 Delgado
N. Sundberg
M. Reinthaler
S. Lorenz
J. Palomino
A. Gravillon
I. Cristea
N. Šipčić
J. Lascelles
A. Gryszkiewicz
Rubén
C. Luyindama
M. Mathisen
N. Anderton
J. Giraudon
G. Guiffrey
F. Garcés
S. Candia
C. Richards
J. Tah
W. Faes
L. Mühl
Unai Bilbao
D. Congré
A. Sharahili
M. Jonjić
P. Mainka
H. Wahl
F. Aliti
T. Lees
L. Segovia
C. Makoun
B. Martins Indi
C. Awaziem
M. Veljković
Samir
20 M. Capuano
A. Calisir
K. Danso
P. Kotal
T. Leistner
A. Hoffmann
Alcalá
F. Fernández
L. Desmond
D. Romney
T. Adarabioyo
Juninho
K. Djidji
T. Vancooten
T. Harwood-Bellis
Han Pengfei
J. Vuković
Bressan
J. Nilsson
21 M. Bagnack
A. Ferro
Y. Tatsuta
21 K. Enghardt
G. Cabral
R. Knoche
I. Näsberg
T. Asta-Buruaga
Z. Gordon
19 D. Perquis
S. Duffy
W. Riveros
21 M. Škrtel
T. Phete
Tiri
21 V. Cabrera
H. Badstuber
18 N. Johansson
Verdasca
S. Sow
Vítor Tormena
A. Ismajli
J. Velázquez
G. Burdisso
D. Cardoso
Iago
M. Ihiekwe
16 Felipe Santana
Y. Gómez Andrade
B. Salamon
G. Velázquez
S. Barreiro
D. Bernard
Tomás Ribeiro
O. Colley
Jorge Cuenca
L. Gugganig
D. Khocholava
E. Roco
J. Rivierez
Igor Rossi
L. Sosa
10 M. Bordon
Z. Francis-Angol
A. Krivotsyuk
19 M. Domizzi
A. Niewulis
A. Duarte
L. Lacroix
Pombaxinho
D. Fry
N. Schlotterbeck
F. Mancinelli
J. Fitzwater
D. Baumgartner
R. Le Normand
M. Caldara
A. Al Amri
C. Starfelt
M. Sonnleitner
A. Lang
M. Sagnan
Raúl Navas
T. Baumgartl
S. Holmén
K. Mavropanos
20 Lee Woong Hee
C. Robertson
E. Ntim
R. Nicolaisen
E. O'Connell
Y. Rak
M. Hawsawi
C. Good
D. Roßbach
L. Badé
D. Lavalée
R. Tagir
N. Kasanwirjo
R. Windbichler
J. Latibeaudiere
J. Onguéné
G. Corujo
Frederico Venâncio
S. Piesinger
21 M. Silvestre
S. Hutchinson
J. Grayson
M. Robinson
K. Bonifazi
R. Porteous
J. Clarke
M. Bostwick
Riccieli
R. Keogh
Javi Sánchez
D. Bernard
S. Coulibaly
M. Pennington
R. Burke
18 M. Sall
N. Röseler
S. Chergui
P. Bauer
M. van der Hoorn
I. Ogbu
L. Dietz
C. Humphreys-Grant
Marcelo
S. Barreto
V. Screciu
M. Fall
Urko González
S. Welsh
M. Monthé
H. Darling
21 Roderick Miranda
21 J. Taravel
Vitor Hugo
J. McCart
G. Maripán
21 N. Subotić
L. Šatka
S. Mai
21 Lee Jae Sung
C. Salcedo
J. O'Brien
F. Chafaï
A. Pierre
D. Wilson
J. Cooper
S. Romagnoli
13 J. Carragher
D. Hyam
M. Blažič
16 W. Samuel
D. Maresic
J. Thorniley
B. Nuytinck
J. Bager
C. Kobald
G. Wüthrich
M. Salem
20 K. Pearce
N. Maksimović
E. Nolan
R. García Guerreño
B. Mugabi
O. Bjørtuft
21 J. Chancellor
I. Conté
C. Cathcart
21 Gégé
N. Dams
F. Russo
V. Guzmán
I. Höhn
M. Nalepa
R. Thomas
D. Schmidt
Jair Amador
S. Knežević
S. Vergini
M. Hornschuh
W. Nightingale
G. Hall
N. Díaz
Artur Jorge
S. Coulibaly
T. Sibbick
21 Dankler
F. Torres
G. Stensness
R. Nishio
H. Dean
S. Velkov
L. Gutiérrez
E. Ebanks-Landell
P. Ziereis
18 Castán
21 D. Chygrynskyi
M. Camara
20 A. Öztürk
D. Bulthuis
Matheus Thuler
E. Schouten
F. Brorsson
H. Moukoudi
S. Bell
G. Edmundson
A. Seko
T. Iwanami
D. Batubinsika
D. Tchamba
D. Gallagher
M. Heylen
M. Wieteska
21 V. Bozhikov
S. van Beek
K. Miller
S. Mockenhaupt
R. Williams
S. Andreou
S. Mmaee
G. Johnston
21 G. Valverde
W. Biedrzycki
21 Naldo
D. O'Shaughnessy
J. Lynch
E. Utkus
21 A. Kızıldağ
Rodrigo Becão
M. Barbieri
J. Brown
V. Haroyan
M. Gillesphey
T. Hadebe
M. Burch
Y. Osorio
F. Kent
18 N. Burdisso
P. Ceccaroni
R. Edmonds-Green
N. Ramírez
M. Nakkim
A. Bardakcı
Chumi
J. Greaves
A. Papadopoulos
G. Hanley
21 C. Stokes
Ignasi Miquel
A. Carboni
Montero
M. Silva
E. Agbadou
Paulo Fajarda
L. Stergiou
B. Utvik
Jubal
Léo Duarte
K. Triantafyllopoulos
L. Sobiech
B. Gibson
T. Flanagan
J. David
J. Laporte
J. Guthrie
F. Almada
Raphael Rossi
A. Bella Kotchap
G. Miura
C. Doyle
L. Bünning
D. Scarr
J. Clarke-Salter
S. Dewaest
M. Hosseini
L. Montsma
W. Troost-Ekong
T. Šunjić
Antônio Carlos
J. Shaughnessy
E. Godoy
21 A. Ajeti
O. Kolskogen
M. Natta
N. Paz
C. Zapata
21 M. Tahrat
A. Boyle
D. Arslanagic
S. Wangberg
F. Ogier
20 M. Marcjanik
S. McKenna
P. Wiśniewski
17 F. Baloy
C. Coll
L. Freestone
G. Valsvik
T. Parker
J. Glad
C. Whelan
21 R. Osorio
J. Wilson
B. Passi
C. Burgess
21 G. Gómez
Allison Sireo
I. Aaneba
L. Väisänen
M. Rente
M. Matras
Eduardo Quaresma
C. Hountondji
Israel Puerto
M. Hilgers
L. Offord
16 M. Yepes
O. Hüsing
L. Greiml
R. Jansson
S. Belkahia
M. Erlić
21 L. Marić
M. Beevers
G. Taft
Wallace
Héctor Rodas
16 Carlos Cuéllar
T. Smith
A. Hegazi
M. Ødegaard
R. Ivanov
G. Chávez
Ygor Nogueira
Iván Márquez
M. Peybernès
R. Bormuth
A. Stewart
K. Machida
S. Fortes
N. Katić
D. Nikolaou
P. Kapp
O. Salomón
J. Whatmough
21 A. Weber
Léo Andrade
21 I. González
21 Paolito Serra
M. Knoester
O. Gonzalez
A. Tanghe
A. Hayden
Cacá
H. Souttar
A. Flint
18 A. Aleksandrov
Jesiel
20 D. Tonucci
K. Árnason
Philipe Sampaio
15 D. Lugano
A. Arigoni
21 A. Puljić
Ivanildo Fernandes
Bruno Wilson
M. Ross
J. Worrall
20 M. Chiosa
C. Pastina
H. Kambou
A. Rouault
A. Rogel
S. Nakatani
S. Szota
21 P. McShane
T. Petrášek
N. Ferraresi
K. Bartley
R. Veselinović
M. Jarjué
21 A. Durante
21 I. Kecojević
M. Ekpiteta
21 Eric Botteghin
21 Felipe
S. Morrison
M. Danielson
S. Hausner
F. Kuruçuk
21 B. Easton
J. Storey
K. Kruk
M. Fritz
O. Beckles
Copete
L. Chambers
J. van der Werff
10 F. Cannavaro
C. McCarthy
B. Wilmot
Elton Monteiro
Ricardo Santos
Juanpe
J. Sosa
R. Capellini
T. Ominami
F. Mayembo
J. Gundersen
C. Odenthal
21 César
Y. Salmier
21 J. White
S. Dann
R. Edwards
L. Rosić
R. Nartey
A. Al Bulayhi
21 Douglas
09 P. Maldini
K. Glik
K. Oiwa
M. Awoudja
J. Daland
T. Borevković
M. Bauer
K. McFadzean
N. Ueda
20 M. Camporese
T. Meißner
W. Ángel
S. Gonther
D. Ballard
G. Avila
A. Al-Dakhil
20 G. Angella
R. Menayese
P. Barrett
Jeong Tae Wook
D. Carlson
H. Ekdal
S. Nkansah
G. Paletta
E. Haugan
M. Bjärsmyr
J. Kramer
S. Wootton
Y. Bisseck
H. Kessler
A. Hartridge
N. Marichal
21 K. da Graca
R. Johnson
Eduardo
M. Pineda
S. Kennedy
T. Aldred
R. Crichlow
Dinis Almeida
J. Cascante
20 M. Compper
T. Hlatshwayo
P. Pfeiffer
G. Goñi
J. Tucker
K. Larsen
D. Reyes
T. Basila
Kim Won Gun
E. Onariase
21 Jeong Seung Hyun
M. Mavraj
N. Tafari
Paulo Vinícius
C. Burgess
O. Syrota
