Name
L. Goretzka
J. Kimmich
P. Pogba
Casemiro
M. Brozović
J. Veretout
F. Kessié
Y. Tielemans
Fred
A. Witsel
Fabinho
T. Partey
M. Arnold
I. Bennacer
C. Aránguiz
G. Kondogbia
K. Laimer
A. Rabiot
J. Kucka
Allan
Fabián
E. Pérez
M. Locatelli
W. Ndidi
A. Guardado
T. Souček
19 F. Guarín
K. Demirbay
Melvin Parrela
Rodri
R. Tapia
K. Phillips
B. Matuidi
A. Doucouré
R. Aliendro
Unai López
20 Y. Cabaye
G. Krychowiak
D. Sow
Maurício
A. Mooy
F. Gorriarán
M. van Ginkel
L. Romero
C. McGregor
K. Kampl
21 V. Ayala
Rafael Carioca
M. Sissoko
21 S. Khedira
Bruno Guimarães
J. dos Santos
R. Zobnin
21 A. Trebel
D. Blanco
Wagner Laranjo
Fernando
M. Ozdoev
L. Kalvach
Everton Andrão
D. Nagbe
Elias Fontoira
Palhinha
Rosberto Dourado
M. Díaz
M. Lopez
J. Seri
N. Maksimović
21 Guilherme
Lucas Leiva
S. Uçan
A. Ioniță
E. Skhiri
19 Hernanes
E. Capoue
21 N. Moro
F. Neuhaus
D. Kreilach
I. Sangaré
M. Sáček
B. Cristante
Sergio Busquets
21 S. Defour
N. Domínguez
Claudiano Sobrino
T. Mangani
T. Stepanenko
21 Souza
A. Ring
16 Anderson
I. Traoré
J. Ferri
18 Z. Gera
Jordi Quintillà
J. Geis
18 H. Altıntop
L. Schøne
T. Arslan
A. Poli
Sergio Tejera
L. Biglia
K. Zachariassen
J. Veerman
Anselmo
S. Al Faraj
Pedro Díaz
J. Gondorf
21 C. Borges
G. Giménez
18 A. Aquilani
E. Atuesta
D. Rice
T. Ciğerci
D. Pavelka
N. Acevedo
Maycon
B. Zuculini
R. Tesche
K. Olsson
17 Natxo Insa
M. Caqueret
M. Camara
18 C. Ledesma
R. Baca
F. Frei
M. Schulz
Yoon Bit Garam
21 M. Abeid
J. Howson
J. Greguš
G. Xhaka
M. Trávník
A. Campbell
E. Piovi
Marcos Paulo
B. Bannan
Dener
Q. Laçi
B. Kamara
Ki Sung Yueng
Salva Sevilla
T. Belmonte
A. Tanaka
Jaime Seoane
M. Badelj
19 C. Träsch
15 S. Kehl
N. Şahin
C. Kouyaté
J. Vigón
20 G. Maluleka
O. Nwobodo
J. Laurent
18 D. Buzzegoli
I. Marcone
F. Quignon
21 J. Mascherano
Claudemir
Y. Kubo
L. Phiri
Sergio Álvarez
S. Davis
F. Lértora
Sin Jin Ho
F. Grillitsch
M. Arambarri
Oier
D. Samek
M. D'Arpino
J. Guilavogui
G. Cuéllar
J. Méndez
A. Ademi
F. Zuqui
D. Frattesi
J. Mišić
C. Doukouré
M. Scozzarella
Recio
J. Hendrix
M. Svanberg
B. Özdemir
20 C. Kouan Oulai
Rodrigo Vuarte
21 B. Addae
21 F. Gago
Tomás Pina
K. El Ahmadi
A. Cubas
L. Brattan
M. Gonalons
G. Docherty
Andy
J. Deminguet
F. Krovinović
L. O'Nien
Andrei Girotto
R. Raveloson
H. Behrens
Pere Pons
S. Sydorchuk
Rubén Pérez
T. Antalyalı
Pêpê
J. Molina
Hugo Rubiães
J. Cullen
R. Schoofs
João Schmidt
Wu Xi
21 J. Mikel
J. Gastien
R. Walter
C. Amissi
C. Ortiz
Walace
G. Shinnie
I. Cofie
Aitor Sanz
A. Morales
N. Chalobah
J. González
A. Hadžiahmetović
Ruiz de Galarreta
M. Gajos
Choi Young Joon
21 D. Torres
Gregore
A. N'Diaye
A. Nagy
Maikel Mesa
David Seijalbo
M. Bakalorz
Sandro Manoel
Ricardo Ryller
D. Samassékou
D. Louiserre
T. Romanczuk
K. Jakić
M. Höger
21 S. Cristóforo
David López
Y. Stark
H. Belkebla
A. Palaversa
B. Pearson
J. Newell
L. Travis
20 Hwang In beom
S. Inagaki
N. Domingo
A. Al Malki
E. Kayembe
A. Merkel
D. Dąbrowski
Júnior Urso
J. Karlström
E. Hussain
M. Bradley
S. Kurt
F. Schnellhardt
Edu Expósito
S. Williams
M. Coutadeur
21 Z. Kalmár
Eguaras
G. Rodríguez
J. Pi
L. Verstraete
Santi Comesaña
M. Lund
S. Diarra
F. Kiss
J. Lopy
J. Taylor
Pedro Chirivella
19 S. Badji
E. Sánchez
C. Pickel
C. Lewis
C. Kramer
S. Colombatto
G. Zarfino
B. Gilmour
M. Sobottka
Pedro Moreira
M. Ellingsen
T. Naylor
S. Lončar
20 B. Dja Djédjé
A. Gunnarsson
J. Rodríguez
F. Beltrán
Y. Bodiger
J. Meneses
J. Bell
M. Perez
M. Name
J. Kubicki
Alfa Semedo
D. Blacha
18 J. Toulalan
Samú Costa
S. Nakamura
21 M. Jevtović
R. Tunnicliffe
M. Mukhin
T. Ohgihara
21 J. Jeggo
21 J. Gjasula
L. Evans
B. Rovira
N. Rovella
B. Close
