Name
K. De Bruyne
Paulinho
L. Modrić
Merino
N. Barella
F. de Jong
Koke
S. Milinković-Savić
Renato Sanches
M. Verratti
Thiago
J. Henderson
I. Gündoğan
R. Nainggolan
D. Wass
21 Renato Augusto
N. Kanté
21 I. Fernández
Rúben Neves
Parejo
L. Robertone
T. Lemar
T. Kroos
M. Pjanić
Sérgio Oliveira
M. Hamšík
J. Ward-Prowse
Ander Herrera
M. Uribe
G. Bonaventura
Campaña
Jorginho
R. Vormer
João Moutinho
D. Caligiuri
B. Bourigeaud
M. Dembélé
B. André
K. Boateng
M. de Roon
R. Pereyra
18 Gabi
D. Alli
P. Zieliński
M. Camara
21 Wendel
J. McGinn
M. Wakaso
Y. Bissouma
I. Gueye
L. Torreira
U. Račić
Sergi Darder
A. Tchouaméni
R. Soriano
P. Højbjerg
J. Fleck
21 B. Ndiaye
Luis Milla
H. Çalhanoğlu
Rubén Alcaraz
20 D. De Rossi
Melero
13 Hugo Viana
C. Roldan
J. Bellingham
O. Selnæs
S. Schwab
R. Gravenberch
A. Westwood
M. Lemina
R. Freuler
L. Miranda
Joan Jordán
R. Falk
A. Gómez
A. Zambo Anguissa
A. González
F. Midtsjø
L. Ferguson
21 P. Hetemaj
Miguel Veloso
21 M. Baldona
Manu Trigueros
J. Lerma
J. Kurtić
17 J. Barton
P. Lees-Melou
Y. M'Vila
20 G. Kanga
M. Moreno
P. Hrošovský
S. Fofana
G. Hamer
R. Ortiz
S. Bastien
M. Bero
Rúben Ribeiro
J. Toornstra
21 E. Riquero
Emilio Piodão
Y. Fofana
K. Acosta
A. Bouchalakis
R. Sánchez
J. Brownhill
Y. Yotún
Unai Vencedor
17 E. Cambiasso
20 M. Jensen
21 M. Zaracho
B. Dejaegere
Roque Mesa
F. Fajr
Álex Fernández
P. Groß
Adrien Silva
S. Larsson
Pedri
R. Marin
17 F. Lampard
D. Liénard
21 L. Gil
A. Maher
A. Cicâldău
João Paulo
M. Fellaini
J. Brandt
O. Akhmedov
18 J. Jones
J. Aribo
Pedrinho
B. Verstraete
Evander
L. Faravelli
B. Alemán
A. Mowatt
Luis Alberto
P. Bucha
A. Bakasetas
B. Heynen
Denis Suárez
21 Beñat
Edercinho Sepa
Kim Bo Kyung
Zeca
18 O. Shatov
18 K. Källström
Sidney Pessinho
J. Soraire
K. Strootman
R. Mandragora
S. Dallas
A. Bertolacci
Douglas Luiz
S. Davis
D. Chará
M. Shaparenko
S. Kums
M. Klich
U. Saltnes
N. Dorsch
M. Vejinović
A. Hahn
A. Mierzejewski
M. Aebischer
D. Turnbull
N. Raskin
G. Castrovilli
Matheus Nunes
P. Billing
S. Aydoğdu
Ivo
R. Morioka
J. McArthur
D. Valeri
S. Johansen
V. Buyalskyi
Hao Junmin
M. Almirón
X. Chavalerin
F. Onyeka
Victor Sánchez
P. Michorl
M. Thorsby
O. Norwood
S. Lukić
Dani García
Eduardo Henrique
L. Kleinheisler
H. Vanaken
Pascoal Muscato
D. Brašanac
A. Acquah
H. Arslan
S. Meïté
K. Galanopoulos
Y. Adli
Gabrisco Aníbal
Raúl Guti
G. Kamara
A. Bedoya
A. Lusamba
O. Kökçü
G. Saville
A. Hutchinson
D. Nistor
V. Wanyama
19 M. Boussoufa
M. Meyer
B. Džemaili
Go Yo Han
J. Holland
L. Holtby
B. van den Boomen
C. Baeza
W. Endo
M. Ilaimaharitra
A. Fransson
A. De Sart
C. Deac
Rubens Freitosa
P. Rosario
B. O'Neill
T. Valls
T. Teuma
A. Rocha
J. Güemez
B. Santamaria
C. Puertas
20 M. Rohdén
P. Berg
F. Cristaldo
L. Görtler
J. Willock
S. Żurkowski
21 F. Coulibaly
Zhou Dingyang
O. Mangala
21 N. Krstičić
F. Vázquez
I. Oblyakov
L. Blessing
D. Le Tallec
F. Gutiérrez
20 Lucas Evangelista
R. Jenssen
19 S. Hanni
L. Romo
20 L. Lollo
L. Rupp
P. Schiattarella
I. Fossum
João Pedro
20 N. Foor
J. Ramírez
Zubimendi
J. Bellegarde
Li Ke
S. Tronstad
M. Grimes
F. Mussis
André Martins
C. Nielsen
P. Mpanzu
Fidel
J. De Sart
R. Harakawa
Luíz Carlos
C. Nørgaard
Ismael
M. Nalepa
Fábio Pacheco
A. Grgić
G. Cimirot
J. Andersen
L. Zuffi
21 M. Diskerud
C. Gentner
F. Carballo
P. McNair
E. Álvarez
J. Boëtius
Luiz Gustavo
S. Motta
J. Clasie
14 J. Park
N. Powell
D. Kohr
S. Asamoah
G. Galoppo
T. Monare
J. Livermore
Mikel Rico
A. Tettey
Moreto Cassamá
Lucas Fernandes
H. Maïga
A. Traustason
Otávio
M. Pack
Y. Neyou
L. Öztunalı
M. Wanitzek
P. Aquino
C. Cásseres Jr
M. Andersen
C. Doucouré
M. Tekdemir
R. Woods
J. Fuchs
M. Kieftenbeld
21 D. Dessena
N. Kilkenny
Leonardo Lopes
M. Eriksson
W. Vaulks
J. Soñora
P. Strand
F. Cerro
Monchu
E. Cañete
M. Vrančić
21 K. Mirallas
F. Mancuello
O. Bozanic
J. van Overeem
16 G. Pineda
L. Tousart
N. Seiwald
Moncayola
21 J. Sánchez
J. Henry
O. Norburn
Melendo
R. Zalazar
I. Mathew
R. Aabid
Pol Llonch
L. Wing
Lee Chang Min
H. Kawabe
S. Ernst
O. Popescu
B. Whiteman
P. Schwarz
M. Mirahmetjan
J. Intriago
A. MacDonald
G. Neves
F. Ugrinic
J. Jønsson
T. Monconduit
Aleix García
F. Lemoine
L. Abergel
R. Neudecker
20 J. Cortés
H. Sakhi
21 J. Carreño
V. Janelt
L. Barreiro Martins
R. Ledson
J. Grant
A. Mühling
L. Fomba
P. Seguin
H. Faik
C. Gallagher
S. Thern
H. Okuno
S. Cáseres
Lucas Mineiro
M. Leitner
D. de Buen
16 G. De Arrascaeta
A. Zorgane
E. Rakip
Son Jun Ho
M. Camara
V. Pálsson
G. Busio
Nuno Santos
S. Mallan
T. Cognat
T. De Vincenti
Luis Muñoz
21 A. Hunt
D. Davis
H. Lansbury
I. Ilić
Zapater
Eugeni
19 Imanol García
L. Vigen
Kaíqundo Calado
21 K. Hyland
Kenny Rocha Santos
20 A. De Vitis
I. Coulibaly
P. Skjelbred
J. Vázquez
21 Claude Gonçalves
R. Sawyers
T. Krauß
T. Rogić
Filipe Soares
S. D'Almeida
Jozabed
Kim Do Hyeok
E. Rexhbeçaj
L. Rodríguez
I. Hayden
Dodi
R. Hatate
J. Vela
C. Brannagan
R. Carrascal
M. Coulibaly
A. Sarcevic
C. Adam
C. Pellerano
D. Barinov
21 M. Ricci
A. Artean
J. Rothwell
20 F. Zuculini
C. Thompson
A. Cardozo Lucena
H. Morita
André Almeida
21 L. Azouni
20 R. Elm
21 Rúben Micael
M. James
C. Forrester
Y. Ideguchi
J. Price
K. Gutiérrez
P. Olsen
M. Gibbs-White
J. Moreno
T. Conlon
K. Dempsey
D. Kinsombi
B. Wiles
S. Kerk
J. Fontaine
M. Autret
J. Alcívar
J. Sheehan
B. Özcan
21 W. Barrios
A. Losilla
R. Zerrouki
J. Cifuentes
F. Holst
20 M. Eramo
G. Haraguchi
18 I. Moro
J. Jacobs
L. Vera
J. McGrath
H. Stengel
J. Leborgne
C. Camps
21 M. Boland
W. Gargano
J. Márquez
H. Shala
E. Bashkirov
21 H. Hansson
J. Scowen
A. Čermák
Nicolás Formido
G. Lódico
D. Barlaser
M. Schröter
M. Frendrup
D. Dressel
S. Lovrič
R. Kouamé
C. Cueva
21 G. Dorrans
J. Buckley
D. McCarty
Juliano Mascarinhas
C. Vega
H. Bjørdal
T. Aoyama
13 E. Davids
D. Pratley
M. Pittón
João Gamboa
R. Canouse
L. Sučić
L. Craig
H. Calcaterra
Undabarrena
21 T. Serero
A. Salétros
Park Joo Ho
F. Moyano
Rhayner
A. Shinnie
K. Mączyński
A. Musrati
B. Jopek
A. Moreno
J. Cacciabue
C. Thomas
B. Kutlu
Mikel San José
M. Crooks
21 L. Immers
Lee Yeong Jae
L. Henderson
M. Dávila
M. Taferner
21 Caiuby
K. Bistrović
G. Kinda
J. Gómez
17 S. Romero
20 P. Kone
I. Harkes
J. Cevallos
A. Morley
G. Makouta
J. Hogg
L. O'Brien
A. Manneh
R. Kurzawa
J. O'Shea
K. Kozłowski
21 M. Doughty
A. Sissako
B. Slisz
21 R. Basque
Pol Lozano
21 D. Schütz
M. Davidson
O. Clarke
