Name
14 Rogério Ceni
Ederson
M. Neuer
J. Pickford
21 A. Onana
M. Maignan
E. Martínez
P. Gazzaniga
M. ter Stegen
M. Riemann
De Gea
L. Hoyos
J. Oblak
R. Ofori
E. Unsain
N. Guzmán
Alisson
F. Muslera
S. Ortega
G. Donnarumma
A. Lopes
H. Lloris
Guaita
A. Marchesín
Rui Patrício
14 Fábio
K. Schmeichel
B. Leno
Y. Sommer
J. Omlin
Nelsildo Reis
14 M. Landreau
J. Hansen
Pau López
M. Borjan
L. Burián
A. Talavera
D. Livaković
J. Drommel
Aitor
C. Lucchetti
T. Courtois
Adán
J. Bursik
14 Pinto
U. Çakır
Andrés Fernández
Pepe Reina
W. Szczęsny
G. Herrera
T. Vaclík
14 Cássio
Kiko Casilla
A. Federici
K. Casteels
G. Rulli
Juan Carlos
V. Milinković-Savić
V. Stojković
L. Mejía
A. McGregor
Diego Mariño
G. Arias
P. Gulácsi
Pacheco
D. von Ballmoos
David Raya
M. Pigliacelli
S. Sosa
J. Zoet
Cantero
A. Rossi
S. Handanovič
Álex Remiro
S. Nishikawa
S. Mignolet
G. Güvenç
C. Vargas
Unai Simón
W. Benítez
E. Andrada
G. Castellón
21 M. Fraga
H. Van Crombrugge
N. Pope
M. Campaña
David Soria
P. Pentz
W. Hahn
Roberto
11 E. van der Sar
M. Schuhen
G. Buffon
P. Carlgren
E. Room
Munir
S. Viera
L. Fabiański
O. Baumann
J. Huth
Lucas Mantela
J. Alnwick
O. Vlachodimos
A. Hansen
Dani Jiménez
J. Siebenhandl
20 J. Herrera
G. Ochoa
D. Subašić
M. Bizot
Y. Bounou
M. Crépeau
S. Scuffet
J. Lewis
V. Hladký
B. Peacock-Farrell
A. McCarthy
J. Rinne
T. Krul
21 A. Lindegaard
L. García
I. Akinfeev
S. Sirigu
S. Johnstone
Yan Junling
A. Gomis
Matheus
21 K. Westwood
21 M. El Shenawy
21 Denis
K. Trapp
D. Bouzanis
S. Bolat
L. Acosta
T. Melia
M. Silvestri
S. Rossbach
S. Johnson
P. Gallese
Manolo Reina
P. Jensen
A. Lafont
W. Yarbrough
17 Victor Valdés
J. Bijlow
M. Sels
Herrerín
Robert Sanchéz
S. Dioudis
21 Gu Chao
J. Hart
A. Oukidja
A. Al Mayoof
José Sá
B. Drągowski
A. Aguilar
Bracali
T. Kaminski
S. Kritsyuk
A. Cragno
Simão Donatinho
K. Nordfeldt
Riesgo
D. Bentley
C. MacGillivray
J. Musso
P. Kieszek
20 T. Howard
Fernando
H. González
A. Aguerre
J. Blaswich
J. Butez
A. Pyatov
Guilherme
21 R. Williams
R. Rey
M. Gersbeck
21 Beto
20 A. Kwarasey
T. Carson
Rui Silva
A. Shunin
T. Horn
S. Lung
R. Zentner
21 J. Serendero
M. Männel
D. Bachmann
A. Consigli
D. Azcona
V. Babacan
J. Bond
R. Boffin
K. Lamprou
16 Weverton
Samuel Portugal
J. Ledesma
A. Paschalakis
M. Dituro
B. Samba
S. Gonda
E. Mulder
Diego López
A. Montero
J. Leca
S. Sluga
Raphaelinho Anjos
S. Dimitrievski
L. Southwood
16 Victor
L. Hrádecký
S. Rochet
H. Koffi
D. Léon
08 O. Kahn
P. Kühn
A. Nübel
D. Ospina
O. Kolář
M. Díaz
S. Marinović
N. Haikin
C. Bonilla
D. Mitov
W. Aguerre
R. Olsen
J. Corona
I. Meslier
A. Blake
Gabri Prestão
B. Reynet
C. Álvarez
21 Cássio
B. Costil
M. Diaw
Germán Parreño
B. Hamid
E. Audero
E. Viviano
R. Gudiño
M. Andújar
J. Leutwiler
B. Guzan
T. Didillon
R. Riou
G. Lajud
