Name
T. Alexander-Arnold
19 Dani Alves
K. Walker
A. Hakimi
Ricardo Pereira
Jesús Navas
19 D. Srna
J. Tavernier
17 P. Lahm
Danilo
Carvajal
M. Casco
R. Karsdorp
G. Di Lorenzo
D. Suárez
L. Advíncula
R. James
Mário Fernandes
Diogo Gonçalves
20 Mariano
V. Coufal
Everticinho
21 A. Valencia
J. Schmid
T. Meunier
J. Svensson
Pedro Porro
Y. Atal
Clinton Mata
C. Mayada
21 L. Piszczek
J. Sambia
19 Juanfran
Aleix Vidal
Vieirinha
Mario Gaspar
J. Buffarini
Emerson
F. Bustos
S. Coleman
M. Lazzari
O. Şahiner
L. Rodríguez
L. Dubois
M. Debuchy
L. De Silvestri
Bruno Peres
N. Mazraoui
21 M. Isla
H. Traoré
Nélson Semedo
J. Clauss
C. Trimmel
A. Wan-Bissaka
S. Arias
B. Pavard
T. Foket
J. Larsson
M. Lowton
Z. Çelik
N. Mukiele
21 Y. Mollo
A. Oğuz
R. López
M. Weiser
21 C. Maggio
S. Widmer
G. Zusi
Juanfran
A. Bah
K. Mbabu
Aurélio Buta
R. Kristensen
Odriozola
P. Kadeřábek
S. Dest
M. Cash
F. Centonze
12 Miguel
Carraça
Jorge Miramón
M. Murillo
Kiko Femenía
Lekue
V. Karavaev
R. Grant
V. Rosier
D. Foulquier
21 E. Bonifacio
D. Calabria
Wellington Sabrão
K. Stafylidis
S. Corchia
Maikel Catarino
21 Rafinha
21 R. Di Leonardo
G. Lovrencsics
E. Salomonsson
Victildinho
Zhang Chengdong
Héctor Bellerín
21 T. Gebre Selassie
21 O. Opazo
20 R. Saravia
Jesus Andradaldo
Kim Tae Hwan
D. Martínez
Adnan Vidual
Álvaro Tejero
A. Smith
P. Farkas
Alexo Baia
J. Angulo
S. Kitsiou
P. Aguilar
Dodô
M. Al Buraik
D. Yedlin
S. Al Ghannam
20 B. Sagna
H. Afful
G. Letizia
Diogo Figueiras
N. Skubic
18 M. Motta
S. Medina
J. Frimpong
I. Balliu
B. Bereszyński
I. Brizuela
Javi López
Sergi Canós
H. Sakai
21 Douglas Armeira
K. Narey
L. Godoy
G. Sakai
21 O. Gaber
21 F. Klein
M. Power
B. Lennon
T. Wiesner
B. Ajdini
