Name
R. Malinovskyi
Roberto Firmino
A. Golovin
K. Volland
K. Benzema
L. Rodríguez
N. Lodeiro
S. Serdar
A. Barák
11 Guti
Ricardo Horta
21 G. Castro
Fábio Martins
W. Bou
M. Pessina
K. Roofe
X. Mercier
21 A. Robben
Cristiano
W. Khazri
F. Montero
Deulofeu
Ivi López
A. Büyük
Muriqui
M. Pjaca
P. Förster
A. Benali
R. Kent
J. Ekkelenkamp
21 J. Zmrhal
F. Pizzini
M. Kaye
A. Sanabria
T. Morishima
T. Usami
21 K. Despodov
R. Amalfitano
20 C. Galano
Iuri Medeiros
D. Rossi
T. Arano
C. Bassett
M. Özil
T. Kaneko
S. Yajima
A. Nordin
José Machín
T. Seko
20 Abraham González
Tan Long
Guilherme
Fábio Sturgeon
Luquinhas
G. Ludwigson
Rafael Lopes
G. Caprari
20 J. Ménez
M. Praszelik
M. Klimowicz
T. Ciğerci
H. Mahou
Ezequiel
R. Tachie
B. Taz
A. Amoo
K. Hinokio
E. Küc
E. Kehrer
A. Kargbo
G. Furrer
07 Silva
