Name
M. Acuña
D. Alaba
João Cancelo
L. Digne
Jordi Alba
Angeliño
T. Hernández
Grimaldo
R. Guerreiro
A. Robertson
Alex Sandro
19 Filipe Luís
Adryan Zonta
Marcos Alonso
L. Shaw
C. Erkin
Juan Bernat
A. Davies
P. Max
D. Blind
Gayà
R. Perraud
L. Olaza
Andeson Trigo
K. Tierney
F. Angileri
P. van Aanholt
Antunes
Welington Dano
D. Criscito
Pedraza
21 M. Nérez
J. Roussillon
Ismaily
M. Rybus
A. Cresswell
M. Ritchie
21 Fábio Coentrão
E. Alioski
O. Dorley
R. Bensebaini
Reguilón
Toño García
Álex Moreno
16 Zé Roberto
Enzo Chissano
Mário Rui
T. Leibold
F. Fabra
B. Barišić
19 Douglas Santos
B. Cufré
J. Hector
Emerson
C. Højer
Ronaldo Esler
C. Biraghi
O. Wijndal
21 Adriano
J. Gallardo
Sidcley
Clerc
E. Sobol
G. Vural
J. Willems
Lucas Lima
Cote
D. Rose
M. Viña
E. Haji Safi
M. Wittek
C. Günter
Junior Firpo
Pedro Rebocho
Rafa Soares
A. Aldrete
R. Bertrand
Wilson Manafá
Y. Al Shahrani
M. Sadílek
Danilo
A. Büttner
Lafortiscinho
Adrià Pedrosa
Silas Almeim
S. March
C. Taylor
F. Ortega
20 S. Padoin
J. Kayembe
16 José Bosingwa
D. Warmerdam
N. Bancu
Marçal
L. Cacace
M. Suttner
Ayrton
A. Bernabei
G. Schennikov
Estevão Candeira
Javi Galán
T. Delaine
E. Mena
E. Lenjani
C. Ganea
E. Gómez
Reinildo
Marc Mateu
14 Fábio Aurélio
17 S. Tiéné
B. Meling
A. Jung
R. Hollingshead
I. Köybaşı
J. Obita
Hong Chul
T. Malacia
O. Wendt
N. Pasquini
M. Ullmann
A. Reach
J. Uronen
A. Behich
Y. Maruhashi
K. Gibbs
A. Espino
Rúben Vinagre
N. Hult
Juankar
K. Paal
Paulinho
L. Fuentes
K. Noborizato
M. Olsson
21 A. Gomaa
S. Ciss
Iago
Balenziaga
M. Targett
L. Benito
21 Marlon
K. D'Haene
Y. Hamache
T. Ouwejan
21 F. Renzetti
D. Raum
P. Heise
C. Löwe
V. Nsimba
20 Nuno Pinto
G. Þórarinsson
M. Olivera
T. Bunmathan
P. Steinhart
E. Papa
Guilherme Sityá
S. Malone
I. Sylla
Adolfinho Padilha
E. Díaz
21 A. Turan
19 E. Echiéjilé
G. Konan
Luna
G. Piovi
A. Parot
B. van Hintum
G. Clichy
C. Styles
B. Emir
K. Lawrence
A. Skúlason
Aihen Muñoz
B. Rahman
V. Le Goff
M. Dal Hende
N. Theuerkauf
Y. Nagatomo
A. Caci
M. Bíttolo
E. Hysaj
M. Bakker
T. Akimoto
G. Mensah
M. Ristić
P. Cornud
Carlos Neva
A. Mayorga
D. Giannoulis
K. Nagato
20 D. Beasley
R. Matarrita
21 N. Schouterden
E. García
A. Al Obaid
N. Gießelmann
G. Arteaga
Q. Bernard
Brian Oliván
L. Garbutt
Sergio Gómez
C. Borja
S. McCallum
J. Bataille
Enaldo Praz
D. Jones
M. Pereira
C. Bravo
21 Dani Castellano
21 P. Zulu
20 Abraham
C. Grant
H. Toffolo
E. Wekesser
21 V. Torosidis
R. Henry
F. Holland
A. Robinson
M. Bard
K. Haugen
A. Halliday
L. Paqarada
R. Yılmaz
D. Banguero
Rogério
E. Insúa
L. Palmer
K. Wagner
C. Cuevas
B. Angulo
D. Lovitz
M. Penney
J. Bidwell
Y. Moreno
K. Mensah
A. Acosta
P. Frankowski
F. Hanin
U. Çiftçi
E. Ćivić
Li Lei
F. Hartherz
David Juncà
C. Daniels
M. López
Bellvís
Ko Kwang Min
D. Köhn
Fran García
D. John
F. Venegas
M. Lowe
Canella
L. Carole
N. Mbemba
M. Valenzuela
G. Cox
H. Anderson
E. Käck
F. Bjørkan
C. Sørensen
T. Rowe
C. Lenz
R. Radunović
C. Molinaro
M. Clark
L. Brown
L. Reyes
Kim Jin Su
H. Pickering
16 L. Jacobsen
B. Garuccio
L. Grimi
L. Leahy
Rubén Duarte
K. Ota
T. Shichi
S. Seddon
S. Jamieson
J. Ahlmann
J. Obiang
N. Cadden
I. Touray
M. Pineida
J. Rassoul
21 K. Schulz
J. Dasilva
T. Handwerker
R. Petretta
Javi Hernández
C. Hussey
C. Cándido
A. Lucoqui
T. Augello
S. McLaughlin
V. Kravets
Marquinhos Cipriano
A. Dante
